Name,Active?,Cohort,Created,Date,Description,Integrations,Prize,Submission Type,Tags
DarkEigen,,UHI6,"September 19, 2025 7:53 AM",,"DarkEigen is a decentralized finance (DeFi) protocol integrating Uniswap V4’s hook architecture with EigenLayer’s Actively Validated Services (AVS) to create a privacy-focused, MEV-resistant, and cross-chain compatible decentralized exchange (DEX) hook.",EigenLayer,,Hook Incubator (UHI),"Cross-Chain, MEV"
Staked Yield Lottery Hook,,UHI6,"September 19, 2025 7:55 AM",,"It's a lottery hook with the intention of after staking, allowing the stake to be restaked on EigenLayer, and the yield from that is split into direct yield and a prize pool that functions as a lottery.",,,Hook Incubator (UHI),ETH Staking
StreetRate,Active,UHI6,"September 19, 2025 7:56 AM",,real time currency exchange that agreegates official parallel and p2p market rates in one place,,,Hook Incubator (UHI),"Basic Interest Rate, Custom hooks, LP Fees, Other, Price Discovery"
PhantomPortfolio Hook,,UHI6,"September 19, 2025 7:57 AM",,"PhantomPortfolio enables completely confidential multi-asset portfolio rebalancing on Uniswap v4 through Fully Homomorphic Encryption (FHE), allowing institutional traders and DAOs to rebalance portfolios without revealing strategies, target allocations, or execution timing. This hook creates the first truly private wealth management system where competitors cannot see portfolio composition or copy trading strategies.",Fhenix,,Hook Incubator (UHI),"Alpha Protection, Anti-Front-Running, Confidential Trading, Cross-Pool Coordination, DAO Treasury Management, Encrypted Rebalancing, Fully Homomorphic Encryption, Institutional DeFi, Portfolio Management, Privacy-Preserving Finance, Stealth Execution, Strategy Privacy, afterSwap Hook, beforeSwap Hook"
GreenSync,,UHI6,"September 19, 2025 7:57 AM",,Corporate Carbon Credit Trading with Privacy & Verification,"EigenLayer, Fhenix",,Hook Incubator (UHI),"DEX, LP Fees, MEV, Trading Volume Rewards"
Fluidity - MEV-Resistant Uniswap V4 Rebalancing Hook with FHE,,UHI6,"September 19, 2025 7:58 AM",,"Fluidity is an MEV resistant Uniswap V4 hook that uses Fully Homomorphic Encryption (FHE) to protect trading strategies and automatically rebalance liquidity positions. By encrypting strategy parameters and liquidity data, it prevents MEV bots from frontrunning or copying strategy while maintaining optimal capital efficiency.",Fhenix,,Hook Incubator (UHI),"LP Liquidity, MEV"
PoolArena,,UHI6,"September 19, 2025 7:58 AM",,"PoolArena is a gamified LP trading tournament where liquidity providers compete based on their PnL performance. Winners earn rewards funded by the fees of other participants, making liquidity provision fun and competitive.",,,Hook Incubator (UHI),"Custom hooks, LP Fees, LP Liquidity"
Uniswap Paymaster,Active,UHI6,"September 19, 2025 7:59 AM",,"Achieves gas abstraction by enabling users to pay their transaction fees in any token by leveraging liquidity from Uniswap pools, distributing the sponsoring fees between the liquidity providers, increasing the capital utility, and overall APY.",,,Hook Incubator (UHI),"Account Abstraction, Gas Abstraction, Shared Liquidity"
StreakFi,,UHI6,"September 19, 2025 8:00 AM",,"StreakFi is a Uniswap v4 Hook-powered DeFi protocol where users stake tokens and earn points via daily gasless check-ins. Missed days reset streaks, while points can be redeemed for real-world products — secured by EigenLayer-style AVS and Fhenix confidential attestations.","EigenLayer, Fhenix",,Hook Incubator (UHI),"Cross-Chain, Custom hooks, DEX, Dynamic Fee, ETH Staking, Gamefi, Illiquid Assets, KYC, LP Liquidity, MEV, Oracle, RWA, Stablecoins, Trading Rewards, Trading Volume Rewards, Yield Farming"
phantomtwamm,,UHI6,"September 19, 2025 8:02 AM",,"PhantomTWAMM Hook enables private, time-weighted order execution on Uniswap v4 through Fully Homomorphic Encryption (FHE), encrypting trade details and computing off-chain to eliminate MEV and conceal intent. Orders remain completely unlinkable during execution with optional post-settlement reveals for compliance, protecting institutional strategies while maintaining auditability.",Fhenix,,Hook Incubator (UHI),"Anonymous Execution, CoFHE, Compliance Ready, DAO Treasury, Encrypted Deltas, Fully Homomorphic Encryption, Institutional Trading, Long-term Orders, MEV Elimination, Optional Reveals, Private Trading, Time-Weighted Execution, Unlinkable Orders, Virtual Time"
AlphaEngineHook,,UHI6,"September 19, 2025 8:03 AM",,"AlphaEngine is a Uniswap v4 hook that enables privacy-preserving swaps and automated strategy execution using FHE and EigenLayer AVS. It transforms DeFi into a market-driven asset management platform, where the best traders compete to generate yield for LPs.","EigenLayer, Fhenix","EigenLayer Prize, Fhenix Prize",Hook Incubator (UHI),"Copy Trading, DEX, MEV, Order Type, Yield Farming"
Vaultage,,UHI6,"September 19, 2025 8:06 AM",,Confidential DEX for Central Banks and Institutional FX. due to time constraints did it on USSD so it works completely offline in global south regions and not on web ,"EigenLayer, Fhenix",,Hook Incubator (UHI),"Auctions, Constant Product Market Maker (CPMM), DEX, Dynamic Fee, Stablecoins, zk-SNARK"
reward flow,,UHI6,"September 19, 2025 8:07 AM",,"RewardFlow aggregates and distributes rewards to liquidity providers across chains using Across Protocol, with an EigenLayer AVS tracking all LP positions cross-chain and coordinating automated reward distribution. The hook records user activity in afterAddLiquidity and afterSwap, calculates personalized tiered rewards, and periodically aggregates them for distribution to users on their preferred chains.",EigenLayer,,Hook Incubator (UHI),"Across Protocol, Automated Distribution, Cross-Chain Rewards, DeFi Infrastructure, EigenLayer AVS, Gas Optimization, LP Incentives, Loyalty System, Multi-Chain Infrastructure, Reward Aggregation, Tiered Rewards, User Preferences, afterAddLiquidity Hook, afterSwap Hook"
 TrunkGuard: Confidential Derivative Hook,,UHI6,"September 19, 2025 8:11 AM",,"TrunkGuardSwapHook is a Uniswap v4 hook that leverages Fhenix FHE to enable confidential swaps and dark pool functionality, protecting traders and LPs from MEV attacks and impermanent loss. It encrypts swap amounts and outputs, ensuring privacy and secure derivative trading",Fhenix,,Hook Incubator (UHI),"LP Liquidity, MEV"
WeightedPool,,UHI6,"September 19, 2025 8:13 AM",,This contract maintains an 80/20 ratio between two tokens through strict mathematical constraints,,,Hook Incubator (UHI),Constant Product Market Maker (CPMM)
SwapFlow,,UHI6,"September 19, 2025 8:15 AM",,"A no-code platform that enables creators, brands, and projects to deploy token-based loyalty systems on Uniswap V4",,,Hook Incubator (UHI),"Raffle, Trading Rewards"
Convexo,,UHI6,"September 19, 2025 8:43 AM",,Enabling compliant digital assets,,,Hook Incubator (UHI),"Compliance, Cross-Chain, Stablecoins, Unichain"
Confidential Impermanent Loss Insurance Hook,,UHI6,"September 19, 2025 9:08 AM",,"We are building a confidential impermanent loss insurance protocol for DeFi liquidity providers, leveraging FHE (via Fhenix) and EigenLayer AVS attestation to enable private risk assessment and decentralized M-of-N operator verification, ensuring secure and trustless payouts without exposing sensitive LP position data.","EigenLayer, Fhenix",Uniswap Prize,Hook Incubator (UHI),LP Liquidity
Shredder,,UHI6,"September 19, 2025 11:17 AM",,Hook for privacy swaps using ZK,,,Hook Incubator (UHI),"Security, zk-SNARK"
TWAMM Launch,,UHI7,"December 8, 2025 5:44 PM",,"Whales and snipers often distort price discovery in new token launches. This hook integrates a TWAMM to enable gradual ETH buying, ensuring participants demonstrate genuine conviction rather than engage in short-term speculation.",,,Hook Incubator (UHI),"Custom Routers, Custom hooks, Price Discovery"
Streamer platform,,UHI7,"December 8, 2025 8:53 PM",,"We are building a native incentive layer for Uniswap v4 that lets protocols launch automated, real-time liquidity reward campaigns without writing any custom infrastructure.",,,Hook Incubator (UHI),"DEX, LP Fees, LP Liquidity, Liquidity Mining"
Swappy,,UHI7,"December 9, 2025 8:21 PM",,"Swappy is a perpetual exchange hook for Uniswap V4 that enables leveraged trading with oracle-based pricing, inspired by GMX V2's architecture.",,,Hook Incubator (UHI),"Custom hooks, LP Fees, LP Liquidity, Oracle, Trading Volume Rewards"
TomoLabs – Automated On-Chain Debt Repayment via Uniswap v4 Hooks,,UHI7,"December 10, 2025 8:27 PM",,"TomoLabs introduces a Uniswap v4 Hook that captures swap fees via afterSwap and automatically routes them to a non-custodial Splitwise contract. This turns DEX trading volume into a continuous, on-chain settlement engine for group debt repayment.",,,Hook Incubator (UHI),"Custom hooks, DEX, LP Fees, Security, Trading Volume Rewards"
Adaptoer,,UHI7,"December 10, 2025 8:34 PM",,"A Uniswap v4 hook that enables sealed bid auctions within liquidity pools, allowing traders to submit encrypted bids without revealing their intent, enabling natural price discovery through FHE-encrypted bid matching.",Fhenix,,Hook Incubator (UHI),"Auctions, DEX"
Portal,,UHI7,"December 10, 2025 8:53 PM",,"Portal is a DeFi protocol that protects users from MEV attacks by keeping trades private and automatically penalizing bots that try to cheat. Every penalty caught is partially returned to users, turning MEV threats into real rewards","EigenLayer, Fhenix",,Hook Incubator (UHI),"Cross-Chain, MEV, Security"
encrypted velocity fee hook,,UHI7,"December 11, 2025 1:07 AM",,"This project combines Uniswap v4's dynamic fee mechanism with real-time velocity calculation to create responsive fees that adapt to market conditions. The oracle computes velocity scores on-chain using exponential moving averages (EMA), with optional support for privacy-preserving encrypted data via Fhenix FHE.",Fhenix,,Hook Incubator (UHI),"Custom hooks, DEX, Stablecoins, Trading Rewards"
Bastion,,UHI7,"December 11, 2025 9:25 AM",,"Bastion is an AVS-secured lending protocol that automatically protects users from depeg events with instant insurance payouts, powered by Uniswap v4 hooks, EigenLayer AVS, and Chainlink oracles. It features dynamic volatility-based fees, automated basket rebalancing, and the first-ever depeg insurance that executes in under 15 seconds without manual claims.",EigenLayer,EigenLayer Prize,Hook Incubator (UHI),"Cross-Chain, Custom hooks, DEX, Dynamic Fee, ETH Staking, LP Fees, LP Liquidity, Liquidity Mining, Oracle, Pool Native Incentivization, RWA, Stablecoins, Trading Volume Rewards, Yield Farming"
Stealthfolio,,UHI7,"December 11, 2025 2:01 PM",,"Stealthfolio is a Uniswap V4 Hook and Vault system that provides confidential, front-run resistant portfolio rebalancing by using Fhenix's Fully Homomorphic Encryption (FHE) to keep sensitive strategy parameters, like target allocations and drift thresholds, private on-chain.",Fhenix,,Hook Incubator (UHI),"Custom hooks, MEV, Privacy, Security"
Helix,,UHI7,"December 11, 2025 4:37 PM",, Automated LP rebalancing for LST pools via EigenLayer AVS. Detects yield drift in stETH/rETH positions and coordinates rebalancing through decentralized operators.,EigenLayer,,Hook Incubator (UHI),"Custom hooks, Rebalancing LP positions, Security"
Gated Trade Rebate Hook,,UHI7,"December 11, 2025 5:09 PM",,"A gated trade-rebate mechanism that recovers most of the value lost to price-impact, which would otherwise be captured by external arbitrage.",,,Hook Incubator (UHI),Trading Volume Rewards
ZK Proof-of-Compliance Hook,,UHI7,"December 11, 2025 5:36 PM",,"ZK Proof-of-Compliance Hook is a Uniswap v4 hook that restricts swaps and LP actions in selected pools to users who can provide a zero-knowledge compliance proof, without revealing any personal data on-chain. The hook integrates a ZK coprocessor (e.g. Brevis-style architecture) to verify that a user satisfies off-chain KYC/AML checks, jurisdiction rules, age thresholds, and sanctions screening, then exposes only a Boolean “compliant / not compliant” result to the pool. On-chain, the hook enforces this by gating beforeSwap and beforeAddLiquidity so that only addresses with a valid, recent ZK proof can trade or provide liquidity. Off-chain, a verifier backend or ZK coprocessor reads from KYC providers / identity systems, generates the proof, and submits it back for on-chain verification. This design lets RWA issuers, institutional LPs, and compliant frontends plug into Uniswap v4 while preserving user privacy and minimizing regulatory friction. It also keeps the hook modular: pools can configure which compliance profile they require (e.g. “KYC+sanctions only”, “EU-only”, “18+ only”), and the same hook can serve multiple pools with different rule-sets. The end goal is to make Uniswap v4 a first-class venue for regulated and permissioned capital flows, without sacrificing decentralization or composability.","EigenLayer, Fhenix",,Hook Incubator (UHI),"Custom hooks, DEX, KYC, LP Liquidity, Security, zk-SNARK"
modl,,UHI7,"December 11, 2025 5:52 PM",,"MODL is a modular hook aggregator for Uniswap v4 that lets pools combine multiple independent logic modules under a single hook address. It turns monolithic, fragile hooks into safe, composable building blocks that can evolve without redeploying the pool.","EigenLayer, Fhenix",Uniswap Prize,Hook Incubator (UHI),"Compliance, Custom hooks, Dynamic Fee, Inter-Connected Pools, Oracle, Security"
FheMarket,,UHI7,"December 11, 2025 6:09 PM",,"FheMarket is a privacy-first Uniswap V4 Hook that leverages Fhenix's Fully Homomorphic Encryption (FHE) to bring ""Dark Pool"" trading to DeFi. By enabling Shielded Deposits and Encrypted Swaps, it allows users to trade on prediction markets without revealing their position sizes, protecting them from front-running and copy-trading",Fhenix,,Hook Incubator (UHI),"Custom hooks, DEX, MEV, Security"
TomoYieldHook — Uniswap v4 Restaking Yield Hook,,UHI7,"December 11, 2025 6:36 PM",,"TomoYieldHook is a Uniswap v4 Hook that automatically converts swap fees into EigenLayer LRT deposits, creating a fully on-chain, auto-compounding restaking yield stream. It turns trading activity directly into programmable yield for DAOs, LPs, and on-chain automation systems.",EigenLayer,,Hook Incubator (UHI),"Custom hooks, DEX, ETH Staking, LP Fees, Security, Trading Volume Rewards, Yield Farming"
Shield-Auction-Hook,,UHI7,"December 11, 2025 8:21 PM",," A Uniswap V4 hook that uses EigenLayer’s Actively Validated Services to auction block-placement priority and redistribute MEV proceeds to liquidity providers, converting LVR into reward streams.",EigenLayer,,Hook Incubator (UHI),"Auctions, LP Fees, LVR, MEV"
Brens Protocol,,UHI7,"December 11, 2025 8:47 PM",,"Zero-Fee, Zero-Slippage Infrastructure for Pegged Assets on Uniswap v4",,,Hook Incubator (UHI),"Constant Sum Market Maker (CSMM), DEX, NoOp, Stablecoins, Unichain"
Lexifi,,UHI7,"December 11, 2025 9:36 PM",,"Solves DeFi's institutional adoption problem by enforcing OFAC/KYC/AML compliance directly in Uniswap V4 pools through a hook that checks users against 6 compliance contracts before allowing swaps. First system to provide mandatory, privacy-preserving compliance enforcement at the protocol level rather than post-transaction monitoring.",Fhenix,,Hook Incubator (UHI),"Custom hooks, Oracle, Other, Regulation"
CrossGuard Hook,,UHI7,"December 11, 2025 9:51 PM",,"A sophisticated Uniswap V4 hook contract that extends the base BaseHook from V4 periphery, integrating EigenLayer's Actively Validated Services (AVS) for staking and slashing, while adding privacy-focused order execution (to mitigate MEV attacks) and simplified cross-chain swap functionality. It's designed for DeFi applications emphasizing security, decentralization, and interoperability, with built-in protections like reentrancy guards and commit-reveal schemes.",EigenLayer,,Hook Incubator (UHI),"Cross-Chain, Custom hooks, MEV"
dBay,,UHI7,"December 11, 2025 10:16 PM",,A Privacy-Preserving Dutch Auction System Built on Uniswap v4 Hooks with Fully Homomorphic Encryption,Fhenix,,Hook Incubator (UHI),Auctions
PILI,,UHI7,"December 11, 2025 10:56 PM",,"PILI is a Uniswap v4 hook system that provides liquidity providers with automated, privacy-preserving protection against impermanent loss",Fhenix,Uniswap Prize,Hook Incubator (UHI),Trading Rewards
LaunchGuard,,UHI7,"December 11, 2025 11:07 PM",,"LaunchGuard is a Uniswap v4 hook that enables fair token launches through encrypted sealed-bid auctions, eliminating bot sniping and front-running by combining Fhenix CoFHE encryption with EigenLayer AVS for decentralized settlement. Winners of the auction receive priority trading access during a configurable time window, ensuring fair price discovery for new token launches.","EigenLayer, Fhenix","EigenLayer Prize, Uniswap Prize",Hook Incubator (UHI),"Auctions, LVR, MEV, Trading Rewards"
PEG GUARD HOOK,,UHI7,"December 11, 2025 11:19 PM",,"PegGuard JIT is an oracle-aware Uniswap v4 hook that injects flash-loan-powered liquidity and dynamically adjusts fees to keep stablecoin pools on peg. It rewards stabilizing traders, penalizes destabilizing flow, and automates crisis response with keeper/JIT bots.",,,Hook Incubator (UHI),"LP Liquidity, MEV, Oracle, Stablecoins"
Ontra,,UHI7,"December 11, 2025 11:30 PM",,"Ontra is a Uniswap v4 Hook that provides institutional-grade on-chain trading with automated yield optimization, where inactive liquidity and pending orders are automatically deposited into Aave to earn yield while supporting advanced order types including trailing stop-loss orders.",,Uniswap Prize,Hook Incubator (UHI),"Custom Routers, Custom hooks, MEV, Order Type, Pool Native Incentivization, Trading Rewards, Yield Farming"
Magnetick,,UHI7,"December 11, 2025 11:41 PM",,Automatically manage liquidity position adjustments to ensure optimal capital efficiency for LPs.,,,Hook Incubator (UHI),"Custom hooks, Dynamic Tick Adjustment"
ShadowBook Hook,,UHI7,"December 12, 2025 12:13 AM",,"ShadowBook is a Uniswap v4 hook that turns pools into fully encrypted dark-pool style limit order books. Prices, sizes, and sides stay hidden via FHE while matching and settlement run on-chain.",Fhenix,,Hook Incubator (UHI),"DEX, Dark Order Books, Dark Pools, Limit Orders"
AuctionPool,,UHI7,"December 12, 2025 12:38 AM",,"AuctionPool is the first auction-managed AMM on Uniswap v4 where professional operators bid ETH/block for pool management rights, dynamically optimize fees, capture MEV at zero cost, and pay rent directly to LPs increasing LP yields 7-20x while maintaining permissionless access.",EigenLayer,,Hook Incubator (UHI),"Auctions, Dynamic Fee, Governance, LP Fees, LVR, MEV"
AsyncSwapHook,,UHI7,"December 12, 2025 12:49 AM",,"AsyncSwap is a Uniswap V4 hook that protects large swaps from sandwich attacks by introducing randomized execution delays. When a swap exceeds 1% of pool liquidity, the hook pauses it for 24-84 seconds with unpredictable timing, breaking the atomicity that MEV bots rely on.",,,Hook Incubator (UHI),"MEV, Security"
YieldLock (PlexusOne),,UHI7,"December 12, 2025 12:55 AM",,Interest rate swap protocol using custom curves and hooks on Uniswap V4 ,,,Hook Incubator (UHI),"Basic Interest Rate, LP Liquidity, NoOp, Private Debt, Unichain, Yield Farming"
YeildShift,,UHI7,"December 12, 2025 1:08 AM",,Set-and-Forget Yield for Uniswap v4,,,Hook Incubator (UHI),"Custom hooks, DEX, Dynamic Fee, Pool Native Incentivization, Trading Rewards"
VeiledBatch,,UHI7,"December 12, 2025 1:10 AM",,"VeiledBatch is a Uniswap v4 hook that enables confidential intent-based batch auctions. It allows traders to submit fully encrypted intents (size, direction, max slippage) which remain hidden from the public mempool, preventing toxic MEV and sandwich attacks.","EigenLayer, Fhenix",Fhenix Prize,Hook Incubator (UHI),"CoW, Custom hooks, MEV"
DAO Treasury Hook,,UHI7,"December 12, 2025 1:15 AM",,A DAO Treasury Hook that reduces fees for DAO members when they swap with rebalancing mechanism to keep the pool active and within range irrespective of market condition,,,Hook Incubator (UHI),"Dynamic Fee, Governance, LP Liquidity, Oracle"
YieldForge,,UHI7,"December 12, 2025 1:22 AM",,YieldForge is a Uniswap v4 hook that automatically sweeps accrued trading fees and redeploys them into the highest risk-adjusted external yield opportunities.,,,Hook Incubator (UHI),"Dynamic Fee, ETH Staking, LP Fees, LP Liquidity, Yield Farming"
SARM Protocol - Stablecoin Automated  Risk Management Protocol,,UHI7,"December 12, 2025 1:27 AM",,"SARM Protocol brings institutional-grade risk management to DeFi through automated, event-driven SSA rating integration, protecting swappers and LPs while maintaining capital efficiency.",,,Hook Incubator (UHI),"DEX, Dynamic Fee, LP Fees, Oracle, Reputation, Stablecoins"
Trailing Order Hook,,UHI7,"December 12, 2025 1:44 AM",,Trailing order type with different thresholds,,,Hook Incubator (UHI),Order Type
JIT LIQUIDITY BOOST VAULT,,UHI7,"December 12, 2025 1:50 AM",,"JIT Liquidity Boost Vault uses a Uniswap v4 hook to inject ultra-tight-range liquidity exactly at the moment swaps occur, maximizing fee capture while minimizing idle capital. Between swaps, all assets earn yield through an ERC4626 vault supplying to Aave, combining JIT liquidity + lending yield in one system.",,,Hook Incubator (UHI),"Aave Integration, Automated Market Maker Strategy, DEX, Dynamic Fee, ERC4626 Vault, JIT Liquidity, LP Fees, LP Liquidity, Liquidity Efficiency, Trading Volume Rewards"
PRIVACY HOOK,,UHI7,"December 12, 2025 2:02 AM",,"Privacy Hook is a Uniswap v4 hook that enables encrypted intent-based trading using Fhenix FHE, hiding user amounts, balances, and trade direction from everyone—including the hook. It matches encrypted intents privately off-chain and routes only unmatched residuals through the AMM, enabling MEV-resistant execution.",Fhenix,,Hook Incubator (UHI),"Dark Pools, Encrypted ERC20, Encrypted Trading, FHE, MEV Protection, Privacy-Preserving AMM, Private Intents, Private Orderflow, Uniswap v4, Zero-Slippage Internal Matching"
ROLAID HOOK,,UHI7,"December 12, 2025 2:12 AM",,"ROLAID (Restaker-Owned LVR Auction & Insurance Desk) is a Uniswap v4 hook integrated with EigenLayer that captures Loss-Versus-Rebalancing (LVR) value through decentralized auctions executed by restakers. Arbitrage profits that traditionally go to searchers and validators are redirected to LPs, while a percentage funds a deterministic insurance vault powered by EigenCompute and EigenAI.",EigenLayer,,Hook Incubator (UHI),"Auction-Based MEV Mitigation, Deterministic Insurance, EigenLayer AVS, Insurance Desk, LVR Auctions, Liquidity Provider Rewards, MEV Capture, MEV Redistribution, Restaking, TEE Execution, Uniswap v4 Hooks"
N.A.J HOOK,,UHI7,"December 12, 2025 2:24 AM",,"N.A.J Hook is a Uniswap v4-powered launchpad that brings Solana-style proprietary AMMs to Ethereum by combining Fhenix FHE for encrypted orderflow and EigenCompute TEEs for secure off-chain strategy execution. Market makers can deploy fully private, custom pricing models while settling trades atomically on-chain with complete confidentiality.","EigenLayer, Fhenix",,Hook Incubator (UHI),"FHE Encrypted Trading, Market Maker Strategies, Proprietary AMM, Solana-Style AMM, TEE Execution"
STAS HOOK,,UHI7,"December 12, 2025 2:39 AM",,"STAS Hook (Smart Threshold-Activated Stability Hook) is a Uniswap v4 hook that stabilizes 1:1 stablecoin pools (e.g. USDC/USDT) by dynamically adjusting swap fees based on real-time Pyth oracle prices. It penalizes trades that worsen a depeg and rewards trades that restore parity, protecting LPs while aligning trader incentives with pool stability.",,,Hook Incubator (UHI),"Dynamic Fee, LP Fees, MEV, Oracle, Security, Stablecoins, Trading Rewards"
BlindBid Hook,,UHI7,"December 12, 2025 2:51 AM",,"BlindBid Hook enables sealed-bid, privacy-preserving auctions inside Uniswap v4 pools using Fhenix Fully Homomorphic Encryption. All bids remain encrypted end-to-end, ensuring fair price discovery, censorship-resistance, and fully confidential on-chain settlement.",Fhenix,,Hook Incubator (UHI),"Encrypted Bids, FHE Auctions, Fair Price Discovery, Fhenix Integration, On-chain NFT/Token Auctions, Privacy-Preserving Trading, Sealed-Bid Auctions, Uniswap v4 Hooks"
 CipherTWAPHook,,UHI7,"December 12, 2025 2:53 AM",,CipherTWAPHook solves these problems through a combination of Fully Homomorphic Encryption and innovative virtual time tracking,Fhenix,,Hook Incubator (UHI),"Copy Trading, Regulation, Security"
AI Governance Hook,,UHI7,"December 12, 2025 3:09 AM",,"AI Governance Hook is an intelligent parameter management system for Uniswap v4 pools that uses deterministic AI models running in EigenCompute TEEs to optimize swap fees and other parameters in real time. Every recommendation is cryptographically attested and fully replayable, so governance can move at market speed while remaining transparent and verifiable.",EigenLayer,EigenLayer Prize,Hook Incubator (UHI),"AI Governance, Deterministic ML, Dynamic Fees, EigenAI, EigenCompute, EigenLayer, LP Yield Optimization, Parameter Optimization, Risk-Aware Parameters, Uniswap v4 Hook"
Invisible Pink Unicorn,,UHI7,"December 12, 2025 3:11 AM",,FHE-enabled Uniswap Hook that hides iceberg limit orders triggered by ,,,Hook Incubator (UHI),"CoW, Constant Product Market Maker (CPMM), Copy Trading, DEX, MEV, Order Type, Trading Rewards"
EigenMatch CoW Hook,,UHI7,"December 12, 2025 3:17 AM",,EigenMatch CoW Hook reduces trading costs and LP slippage by internally matching opposing trade intents before routing unmatched residuals to the Uniswap pool,EigenLayer,Uniswap Prize,Hook Incubator (UHI),"CoW, LP Fees"
EIGEN DARK HOOK,,UHI7,"December 12, 2025 3:29 AM",,EigenDark Hook is a confidential liquidity vault and dark-pool style trading venue built on Uniswap v4. It uses EigenCompute TEEs to execute institutional-sized block trades privately while still settling trustlessly on-chain.,EigenLayer,EigenLayer Prize,Hook Incubator (UHI),"Confidential Block Trading, Dark Pool, EigenCompute TEE, Encrypted Order Flow, Institutional DeFi, MEV Protection, OTC Replacement, Private Liquidity Vault, TWAP Pricing, Uniswap v4 Hook"
EIGEN SHIELD FS HOOK,,UHI7,"December 12, 2025 3:43 AM",,"EigenShield Flow Sentinel is a Uniswap V4 hook plus EigenLayer AVS watchtower network that protects swaps from sandwich attacks and toxic MEV in real time. Restaker-operated nodes analyze the mempool inside EigenCompute TEEs, reach a 67% quorum on whether a swap is safe or malicious, and the hook either allows execution or blocks the trade with a clear “potential sandwich detected” revert.",EigenLayer,EigenLayer Prize,Hook Incubator (UHI),"EigenAI detection, EigenCompute TEE, EigenLayer AVS, MEV Protection, Mempool monitoring, Sandwich attack prevention, Slashable watchtowers, Uniswap v4 Hook"
LUKAS: LatAm Basket-Peg Stabilizer Hook for Uniswap v4,,UHI7,"December 12, 2025 4:13 AM",,"LUKAS is the first Latin American basket-pegged meme stablecoin (BRL, MXN, COP, CLP, ARS) stabilized natively inside Uniswap v4 using a custom Hook that performs on-swap peg deviation checks, dynamic mint/burn signals, and multi-currency index rebalancing.",Fhenix,Fhenix Prize,Hook Incubator (UHI),Stablecoins
SYHook,,UHI7,"December 12, 2025 4:19 AM",,"Stablecoin yields in DeFi suffer from siloed protocols (e.g., Aave/Morpho), oracle risks, and gas-inefficient routing, limiting APY optimization (5-12% potential loss per 2025 trends). SYHook solves this via V4 hooks for on-swap routing and EigenLayer AVS for secure APY data.",EigenLayer,,Hook Incubator (UHI),"LP Fees, LP Liquidity, Trading Rewards, Trading Volume Rewards"
Points Hook,,UHI7,"December 12, 2025 4:35 AM",,A hook that rewards users with points based on their volume of swaps and incorporates a fee tier system,,,Hook Incubator (UHI),"DEX, Trading Rewards"
AIMSWAP Hook,,UHI7,"December 12, 2025 4:52 AM",,AIMSWAP Hook is a privacy-preserving Coincidence of Wants (CoW) protocol for Uniswap v4 using Fhenix FHE (Fully Homomorphic Encryption) via CoFHE coprocessor. The project implements encrypted intent matching that falls back to AMM when no match is found.,Fhenix,,Hook Incubator (UHI),"CoW, MEV"
fheatherx,,UHI7,"December 12, 2025 5:00 AM",,FheatherX is a private decentralized exchange built as a Uniswap v4 Hook using Fhenix's Fully Homomorphic Encryption (FHE). FheatherXv6 combines a Hybrid Encrypted AMM with Private Limit Orders - supporting swaps and liquidity provision across ERC20 and FHERC20 token pairs,Fhenix,,Hook Incubator (UHI),"Custom hooks, DEX, LP Fees, LP Liquidity, MEV, Security"
Hook Bazaar - Marketplace for Uniswap v4 Hooks,,UHI7,"December 12, 2025 5:29 AM",,"connecting hook developers with Hook Bazaar solves a critical two-sided market failure: Uniswap v4 introduced hooks as powerful customization primitives, but no infrastructure exists for developers to publish, monetize, and distribute hooks to protocols that need them. Currently, obtaining a production-ready hook costs $10k-$100k and takes weeks—creating an insurmountable barrier for most teams.  Our platform provides a complete marketplace where developers can register hooks with flexible pricing (flat fee, revenue share, or hybrid), while protocols instantly discover, purchase, and deploy pre-audited hooks in minutes instead of weeks. Using the Diamond pattern (EIP-2535), we enable safe multi-hook composition, allowing pools to combine multiple behaviors without conflicts. Revenue is automatically distributed via 0xSplits v2, ensuring transparent, trust-minimized payments between developers and the protocol treasury.  Hook Bazaar creates a self-sustaining ecosystem with three key innovations: (1) standardized hook specifications for safety and trust, (2) developer reputation profiles to drive quality through competition, and (3) optional Fhenix FHE integration for IP-protected premium algorithms. By dramatically reducing costs and deployment time while enabling new monetization models, we're building the infrastructure layer that will accelerate Uniswap v4 adoption and establish ""Hook Developer"" as a new professional category in DeFi.  Built on: Solidity, Foundry, Uniswap v4, React, TypeScript, Subsquid, 0xSplits v2, Fhenix FHE","EigenLayer, Fhenix",,Hook Incubator (UHI),"Custom hooks, DEX, ETH Staking, Inter-Connected Pools, Other, Trading Rewards, Unichain"
TrueLend,,UHI7,"December 12, 2025 6:02 AM",,Oracleless lending-borrowing protocol with AMM native liquidations.,,Uniswap Prize,Hook Incubator (UHI),"Custom hooks, LP Fees, LP Liquidity, NoOp, Pool Native Incentivization"
StratosHook,,UHI7,"December 12, 2025 6:21 AM",,A Dynamic fee hook with NFT gating and Hook revenue,,,Hook Incubator (UHI),"Dynamic Fee, LP Fees, Pool Native Incentivization, Regulation, Unichain"
